[Thu Jul 22 12:17:57.295 2010] 0.001 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:19:15.066 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:19:15.846 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:19:54.934 2010] 0.003 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:19:56.298 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:19:57.175 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:19:57.975 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:20:01.690 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:20:02.529 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:20:06.953 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:21:10.814 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] g
[Thu Jul 22 12:21:11.858 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:21:12.584 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:21:14.794 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:23:35.467 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:23:36.240 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:23:38.577 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:24:20.036 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:24:20.808 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:24:23.647 2010] 0.002 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:26:01.591 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:26:02.553 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:26:06.432 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:26:53.144 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:26:53.849 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:26:57.923 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:27:41.267 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:27:42.047 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:27:45.154 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:28:43.673 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:28:44.534 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:28:51.215 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:29:33.404 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
